HOSPITAL_NAME,CITY,STATE,COUNTRY
Southeast Alabama Medical Center,Dothan,AL,USA
Marshall Medical Center South,Boaz,AL,USA
Eliza Coffee Memorial Hospital,Florence,AL,USA
Mizell Memorial Hospital,Opp,AL,USA
Crenshaw Community Hospital,Luverne,AL,USA
St Vincent's East,Birmingham,AL,USA
Dekalb Regional Medical Center,Fort Payne,AL,USA
Shelby Baptist Medical Center,Alabaster,AL,USA
Callahan Eye Hospital,Birmingham,AL,USA
Helen Keller Memorial Hospital,Sheffield,AL,USA
Dale Medical Center,Ozark,AL,USA
Floyd Cherokee Medical Center,Centre,AL,USA
Baptist Medical Center South,Montgomery,AL,USA
Jackson Hospital & Clinic Inc,Montgomery,AL,USA
East Alabama Medical Center,Opelika,AL,USA
Tanner Medical Center-east Alabama,Wedowee,AL,USA
University Of Alabama Hospital,Birmingham,AL,USA
Community Hospital Inc,Tallassee,AL,USA
Cullman Regional Medical Center,Cullman,AL,USA
Andalusia Health,Andalusia,AL,USA
Stringfellow Memorial Hospital,Anniston,AL,USA
Huntsville Hospital,Huntsville,AL,USA
Gadsden Regional Medical Center,Gadsden,AL,USA
Marion Regional Medical Center,Hamilton,AL,USA
Fayette Medical Center,Fayette,AL,USA
Riverview Regional Medical Center,Gadsden,AL,USA
Georgiana Medical Center,Georgiana,AL,USA
Medical Center Enterprise,Enterprise,AL,USA
Greene County Hospital,Eutaw,AL,USA
Lake Martin Community Hospital,Dadeville,AL,USA
Flowers Hospital,Dothan,AL,USA
St Vincent's Birmingham,Birmingham,AL,USA
Bibb Medical Center,Centreville,AL,USA
Lawrence Medical Center,Moulton,AL,USA
Highlands Medical Center,Scottsboro,AL,USA
Wiregrass Medical Center,Geneva,AL,USA
Russell Medical Center,Alexander City,AL,USA
Medical Center Barbour,Eufaula,AL,USA
Clay County Hospital,Ashland,AL,USA
Northeast Alabama Regional Medical Center,Anniston,AL,USA
Athens Limestone Hospital,Athens,AL,USA
South Baldwin Regional Medical Center,Foley,AL,USA
Decatur Morgan Hospital-decatur Campus,Decatur,AL,USA
Northwest Medical Center,Winfield,AL,USA
University Of South Alabama Medical Center,Mobile,AL,USA
Walker Baptist Medical Center,Jasper,AL,USA
Providence Hospital,Mobile,AL,USA
Grove Hill Memorial Hospital,Grove Hill,AL,USA
D C H Regional Medical Center,Tuscaloosa,AL,USA
Hale County Hospital,Greensboro,AL,USA
Elmore Community Hospital,Wetumpka,AL,USA
D W Mcmillan Memorial Hospital,Brewton,AL,USA
Thomas Hospital,Fairhope,AL,USA
Citizens Baptist Medical Center,Talladega,AL,USA
J Paul Jones Hospital,Camden,AL,USA
Princeton Baptist Medical Center,Birmingham,AL,USA
Grandview Medical Center,Birmingham,AL,USA
Prattville Baptist Hospital,Prattville,AL,USA
Pickens County Medical Center,Carrollton,AL,USA
Bullock County Hospital,Union Springs,AL,USA
Bryan W. Whitfield Memorial Hospital,Demopolis,AL,USA
Mobile Infirmary Medical Center,Mobile,AL,USA
"Medical West, An Affiliate Of Uab Health System",Bessemer,AL,USA
Vaughan Regional Medical Center Parkway Campus,Selma,AL,USA
Monroe County Hospital,Monroeville,AL,USA
Lakeland Community Hospital,Haleyville,AL,USA
Troy Regional Medical Center,Troy,AL,USA
Jackson Medical Center,Jackson,AL,USA
North Baldwin Infirmary,Bay Minette,AL,USA
St Vincent's St Clair,Pell City,AL,USA
Crestwood Medical Center,Huntsville,AL,USA
Hill Hospital Of Sumter County,York,AL,USA
Brookwood Baptist Medical Center,Birmingham,AL,USA
Springhill Memorial Hospital,Mobile,AL,USA
Rmc Jacksonville,Jacksonville,AL,USA
Evergreen Medical Center,Evergreen,AL,USA
Baptist Medical Center East,Montgomery,AL,USA
L V Stabler Memorial Hospital,Greenville,AL,USA
Shoals Hospital,Muscle Shoals,AL,USA
Russellville Hospital,Russellville,AL,USA
Coosa Valley Medical Center,Sylacauga,AL,USA
Jack Hughston Memorial Hospital,Phenix City,AL,USA
Atmore Community Hospital,Atmore,AL,USA
St Vincent's Chilton,Clanton,AL,USA
Washington County Hospital,Chatom,AL,USA
Red Bay Hospital,Red Bay,AL,USA
Choctaw General Hospital,Butler,AL,USA
St Vincents Blount,Oneonta,AL,USA
Children's Hospital Of Alabama,Birmingham,AL,USA
University Of S A Children's And Women's Hos,Mobile,AL,USA
Providence Alaska Medical Center,Anchorage,AK,USA
Mat-su Regional Medical Center,Palmer,AK,USA
Bartlett Regional Hospital,Juneau,AK,USA
Fairbanks Memorial Hospital,Fairbanks,AK,USA
Alaska Regional Hospital,Anchorage,AK,USA
Yukon Kuskokwim Delta Reg Hospital,Bethel,AK,USA
Central Peninsula General Hospital,Soldotna,AK,USA
Alaska Native Medical Center,Anchorage,AK,USA
Providence Valdez Medical Center,Valdez,AK,USA
Providence Seward Hospital,Seward,AK,USA
Sitka Community Hospital,Sitka,AK,USA
Petersburg Medical Center,Petersburg,AK,USA
Wrangell Medical Center,Wrangell,AK,USA
Providence Kodiak Island Medical Ctr,Kodiak,AK,USA
Cordova Community Medical Center,Cordova,AK,USA
Norton Sound Regional Hospital,Nome,AK,USA
Kanakanak Hospital,Dillingham,AK,USA
Maniilaq Health Center,Kotzebue,AK,USA
Ketchikan Medical Center,Ketchikan,AK,USA
Samuel Simmonds Memorial Hospital,Barrow,AK,USA
South Peninsula Hospital,Homer,AK,USA
Mt Edgecumbe Hospital,Sitka,AK,USA
Banner - University Medical Center Phoenix,Phoenix,AZ,USA
Tucson Medical Center,Tucson,AZ,USA
Verde Valley Medical Center,Cottonwood,AZ,USA
St. Mary's Hospital,Tucson,AZ,USA
St Joseph's Hospital,Tucson,AZ,USA
Yavapai Regional Medical Center,Prescott,AZ,USA
Yuma Regional Medical Center,Yuma,AZ,USA
John C. Lincoln North Mountain Hospital,Phoenix,AZ,USA
Banner Casa Grande Medical Center,Casa Grande,AZ,USA
Maricopa Medical Center,Phoenix,AZ,USA
Flagstaff Medical Center,Flagstaff,AZ,USA
St. Joseph's Hospital And Medical Center,Phoenix,AZ,USA
Abrazo Central Campus,Phoenix,AZ,USA
Chandler Regional Medical Center,Chandler,AZ,USA
St Luke's Medical Center,Phoenix,AZ,USA
Scottsdale Osborn Medical Center,Scottsdale,AZ,USA
Canyon Vista Medical Center,Sierra Vista,AZ,USA
Kingman Regional Medical Center,Kingman,AZ,USA
Banner Boswell Medical Center,Sun City,AZ,USA
Summit Healthcare Regional Medical Center,Show Low,AZ,USA
Banner - University Medical Center Tucson Campus,Tucson,AZ,USA
